,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,{'Fried Egg'},{'Boiled Rice'},0.2885326757090012,0.9765721331689272,0.2872996300863132,0.9957264957264959,1.0196138737805407,0.005526659480235563,5.482120838471194
1,{'Boiled Rice'},{'Fried Egg'},0.9765721331689272,0.2885326757090012,0.2872996300863132,0.2941919191919192,1.0196138737805407,0.005526659480235563,1.0080181052566566
2,"{'Fried Egg', 'Water'}",{'Boiled Rice'},0.13686806411837238,0.9765721331689272,0.13686806411837238,1.0,1.023989898989899,0.0032065267795919616,inf
3,{'Boiled Rice'},"{'Fried Egg', 'Water'}",0.9765721331689272,0.13686806411837238,0.13686806411837238,0.14015151515151517,1.023989898989899,0.0032065267795919616,1.003818639087003
4,{'Fried Fish'},{'Boiled Rice'},0.1319358816276202,0.9765721331689272,0.12946979038224415,0.9813084112149535,1.0048499008779386,0.0006248850196360067,1.2533908754624088
5,{'Boiled Rice'},{'Fried Fish'},0.9765721331689272,0.1319358816276202,0.12946979038224415,0.1325757575757576,1.0048499008779386,0.0006248850196360067,1.0007376735821323
6,{'Fried Processed Meat'},{'Boiled Rice'},0.10974106041923551,0.9765721331689272,0.10850801479654747,0.9887640449438202,1.0124843945068664,0.0013379533267145194,2.085080147965473
7,{'Boiled Rice'},{'Fried Processed Meat'},0.9765721331689272,0.10974106041923551,0.10850801479654747,0.1111111111111111,1.0124843945068664,0.0013379533267145194,1.00154130702836
8,{'Boiled Vegetable'},{'Boiled Rice'},0.09741060419235512,0.9765721331689272,0.09617755856966707,0.9873417721518987,1.0110280015343307,0.0010490770402648009,1.8508014796547403
9,{'Boiled Rice'},{'Boiled Vegetable'},0.9765721331689272,0.09741060419235512,0.09617755856966707,0.09848484848484848,1.0110280015343307,0.0010490770402648009,1.001191598711001
10,{'Fried Fish'},{'Water'},0.1319358816276202,0.49815043156596794,0.07398273736128237,0.5607476635514019,1.1256592949014528,0.0082588209894469,1.1425085919668392
11,{'Water'},{'Fried Fish'},0.49815043156596794,0.1319358816276202,0.07398273736128237,0.14851485148514854,1.125659294901453,0.0082588209894469,1.0194706506466322
12,{'Fried Fish'},"{'Boiled Rice', 'Water'}",0.1319358816276202,0.4833538840937115,0.07151664611590629,0.5420560747663552,1.121447644478352,0.007744925279867906,1.1281864163667934
13,{'Water'},"{'Fried Fish', 'Boiled Rice'}",0.49815043156596794,0.12946979038224415,0.07151664611590629,0.14356435643564355,1.1088637435172086,0.007021214162235959,1.0164572389756457
14,"{'Boiled Rice', 'Water'}",{'Fried Fish'},0.4833538840937115,0.1319358816276202,0.07151664611590629,0.14795918367346939,1.121447644478352,0.007744925279867906,1.0188057916226734
15,"{'Fried Fish', 'Boiled Rice'}",{'Water'},0.12946979038224415,0.49815043156596794,0.07151664611590629,0.5523809523809523,1.1088637435172086,0.007021214162235959,1.1211532911824118
16,{'Boiled Fish'},{'Boiled Rice'},0.06041923551171394,0.9765721331689272,0.059186189889025895,0.9795918367346939,1.0030921459492887,0.00018244818091561754,1.1479654747225652
